385147.668	9057638.894	2785.308	01_001.jpg
386280.807	9057648.535	2784.890	01_002.jpg
387533.198	9057648.116	2786.367	01_003.jpg
388788.563	9057665.934	2783.879	01_004.jpg
390037.304	9057669.108	2785.081	01_005.jpg
391288.839	9057683.057	2782.718	01_006.jpg
392536.929	9057689.841	2784.743	01_007.jpg
385773.683	9055243.886	2784.954	02_001.jpg
387070.921	9055247.650	2780.957	02_002.jpg
388378.581	9055251.383	2784.244	02_003.jpg
389673.785	9055257.782	2783.998	02_004.jpg
390961.380	9055256.818	2785.995	02_005.jpg
392257.591	9055262.637	2782.242	02_006.jpg
393558.879	9055250.105	2785.211	02_007.jpg
385607.720	9052825.533	2784.046	03_004.jpg
386928.319	9052856.830	2782.746	03_005.jpg
388237.420	9052857.482	2784.515	03_006.jpg
389533.109	9052869.580	2783.942	03_007.jpg
390826.602	9052866.542	2784.969	03_008.jpg
392125.495	9052867.330	2781.390	03_009.jpg
393426.509	9052860.545	2785.493	03_010.jpg
394718.411	9052860.606	2784.076	03_011.jpg
